Time,Delay/Advance Val,ICU packet checksum,ICU command count,sync_pulse_count
20160816T225133.036830,0,0,0,0
20160816T225134.036830,0,0,0,0
20160816T225135.036830,0,0,0,0
20160816T225136.036830,0,0,0,0
20160816T225137.036830,0,0,0,0
20160816T225138.036830,0,0,0,0
20160816T225139.036830,0,0,0,0
20160816T225140.036830,0,0,0,0
20160816T225141.036830,0,0,0,0
20160816T225142.036830,0,0,0,0
20160816T225143.036830,0,0,0,0
20160816T225144.036830,0,0,0,0
20160816T225145.036830,0,0,0,0
20160816T225146.036830,0,0,0,0
20160816T225147.036830,0,0,0,0
20160816T225148.036830,0,0,0,0
20160816T225149.036830,0,0,0,0
20160816T225150.036830,0,0,0,0
20160816T225151.036830,0,0,0,0
20160816T225152.036830,0,0,0,0
20160816T225153.036830,0,0,0,0
20160816T225154.036830,0,0,0,0
20160816T225155.036830,0,0,0,0
20160816T225156.036830,0,0,0,0
20160816T225157.036830,0,0,0,0
20160816T225158.036830,0,0,0,0
20160816T225159.036830,0,0,0,0
20160816T225200.036830,0,0,0,0
20160816T225201.036830,0,0,0,0
20160816T225202.036830,0,0,0,0
20160816T225203.036830,0,0,0,0
20160816T225204.036830,0,0,0,0
20160816T225205.036830,0,0,0,0
20160816T225206.036830,0,0,0,0
20160816T225207.036830,0,0,0,0
20160816T225208.036830,0,0,0,0
20160816T225209.036830,0,0,0,0
