Time,Delay/Advance Val,ICU packet checksum,ICU command count,sync_pulse_count
20160816T224525.389575,0,0,0,0
20160816T224526.389575,0,0,0,0
20160816T224527.389575,0,0,0,0
20160816T224528.389575,0,0,0,0
20160816T224529.389575,0,0,0,0
20160816T224530.389575,0,0,0,0
20160816T224531.389575,0,0,0,0
20160816T224532.389575,0,0,0,0
20160816T224533.389575,0,0,0,0
20160816T224534.389575,0,0,0,0
20160816T224535.389575,0,0,0,0
20160816T224536.389575,0,0,0,0
20160816T224537.389575,0,0,0,0
20160816T224538.389575,0,0,0,0
20160816T224539.389575,0,0,0,0
20160816T224540.389575,0,0,0,0
20160816T224541.389575,0,0,0,0
20160816T224542.389575,0,0,0,0
20160816T224543.389575,0,0,0,0
20160816T224544.389575,0,0,0,0
20160816T224545.389575,0,0,0,0
20160816T224546.389575,0,0,0,0
20160816T224547.389575,0,0,0,0
20160816T224548.389575,0,0,0,0
20160816T224549.389575,0,0,0,0
20160816T224550.389575,0,0,0,0
20160816T224551.389575,0,0,0,0
20160816T224552.389575,0,0,0,0
20160816T224553.389575,0,0,0,0
20160816T224554.389575,0,0,0,0
20160816T224555.389575,0,0,0,0
20160816T224556.389575,0,0,0,0
20160816T224557.389575,0,0,0,0
20160816T224558.389575,0,0,0,0
20160816T224559.389575,0,0,0,0
20160816T224600.389575,0,0,0,0
20160816T224601.389575,0,0,0,0
