Time,Delay/Advance Val,ICU packet checksum,ICU command count,sync_pulse_count
20160816T164847.835315,0,0,0,0,
20160816T164847.835315,0,0,0,0,
20160816T164847.835315,0,0,0,1,
20160816T164847.835315,
20160816T164847.835315,0,0,0,0,
20160816T164851.835315,0,0,0,0,
20160816T164852.835315,0,0,0,0,
20160816T164853.835315,0,0,0,0,
20160816T164854.835315,0,0,0,0,
20160816T164855.835315,0,0,0,0,
20160816T164856.835315,0,0,0,0,
20160816T164857.835315,0,0,0,0,
20160816T164858.835315,0,0,0,0,
20160816T164859.835315,0,0,0,0,
20160816T164900.835315,0,0,0,0,
20160816T164901.835315,0,0,0,0,
20160816T164902.835315,0,0,0,0,
20160816T164903.835315,0,0,0,0,
20160816T164904.835315,0,0,0,0,
20160816T164905.835315,0,0,0,0,
20160816T164906.835315,0,0,0,0,
20160816T164907.835315,0,0,0,0,
20160816T164908.835315,0,0,0,0,
20160816T164909.835315,0,0,0,0,
20160816T164910.835315,0,0,0,0,
20160816T164911.835315,0,0,0,0,
20160816T164912.835315,0,0,0,0,
20160816T164913.835315,0,0,0,0,
20160816T164914.835315,0,0,0,0,
20160816T164915.835315,0,0,0,0,
20160816T164916.835315,0,0,0,0,
20160816T164917.835315,0,0,0,0,
20160816T164918.835315,0,0,0,0,
20160816T164919.835315,0,0,0,0,
20160816T164920.835315,0,0,0,0,
20160816T164921.835315,0,0,0,0,
20160816T164922.835315,0,0,0,0,
20160816T164923.835315,0,0,0,0,
20160816T164924.835315,0,0,0,0,
20160816T164925.835315,0,0,0,0,
20160816T164926.835315,0,0,0,0,
20160816T164927.835315,0,0,0,0,
20160816T164928.835315,0,0,0,0,
20160816T164929.835315,0,0,0,0,
20160816T164930.835315,0,0,0,0,
20160816T164931.835315,0,0,0,0,
20160816T164932.835315,0,0,0,0,
20160816T164933.835315,0,0,0,0,
20160816T164934.835315,0,0,0,0,
20160816T164935.835315,0,0,0,0,
20160816T164936.835315,0,0,0,0,
20160816T164937.835315,0,0,0,0,
20160816T164938.835315,0,0,0,0,
