Time,Status_HB,Status_LB,LUP_cnt,P1V5,P3V3,P5V,N5V,P8V,P12V,P1I5,P3I3,P5I,N5I,P8I,P12I,TE,TS1,TS2,Checksum,CMD_exec_cnt,ICU_err_cnt,Last_cmd,Last_err,HK_req_cnt,sync_count
20160816T233409.335074,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0,0,0
20160816T232539.335074,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0,0,0
20160816T232539.335074,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0,0,0
20160816T232537.342886,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0,0,0
20160818T115009.335074,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0,0,0
20160818T115009.335074,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0,0,0
20160816T232537.335074,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0,0,0
20160816T233409.335074,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0,0,0
20160816T233409.335074,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0,0,0
20160816T232537.342886,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0,0,0
20160818T115009.335074,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0,0,0
20160816T233409.335074,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0,0,0
20160816T232539.335074,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0,0,0
20160816T233409.335074,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0,0,0
20160816T232539.335074,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0,0,0
20160816T232539.335074,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0,0,0
20160816T232537.342886,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0,0,0
20160816T232537.342886,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0,0,0
20160818T115009.335074,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0,0,0
20160816T233409.335074,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0,0,0
20160816T232537.335074,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0,0,0
20160816T235535.335074,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0,0,0
20160818T115009.335074,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0,0,0
20160816T233409.335074,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0,0,0
20160816T232539.335074,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0,0,0
20160816T232539.335074,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0,0,0
20160816T232537.342886,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0,0,0
20160816T232537.342886,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0,0,0
20160818T115009.335074,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0,0,0
20160816T233409.335074,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0,0,0
20160816T233409.335074,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0,0,0
20160816T232537.342886,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0,0,0
20160818T115009.335074,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0,0,0
20160816T232537.335074,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0,0,0
20160816T232537.335074,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0,0,0
20160816T235951.335074,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0,0,0
20160818T115009.335074,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0,0,0
20160816T233409.335074,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0,0,0
20160816T232539.335074,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0,0,0
20160816T232539.335074,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0,0,0
20160818T115009.335074,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0,0,0
20160816T233409.335074,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0,0,0
20160816T232539.335074,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0,0,0
20160816T232539.335074,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0,0,0
20160816T232537.342886,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0,0,0
20160818T115009.335074,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0,0,0
20160816T233409.335074,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0,0,0
20160816T233409.335074,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0,0,0
20160816T232537.335074,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0,0,0
20160817T000407.335074,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0,0,0
20160818T115009.335074,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0,0,0
20160816T233409.335074,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0,0,0
20160816T232539.335074,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0,0,0
20160816T232539.335074,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0,0,0
20160818T115009.335074,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0,0,0
20160816T233409.335074,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0,0,0
20160816T232539.335074,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0,0,0
20160816T232539.335074,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0,0,0
20160816T232537.342886,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0,0,0
20160818T115009.335074,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0,0,0
20160818T115009.335074,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0,0,0
20160816T233409.335074,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0,0,0
20160816T232537.335074,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0,0,0
20160817T000823.335074,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0,0,0
20160818T115009.335074,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0,0,0
20160816T233409.335074,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0,0,0
20160816T232539.335074,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0,0,0
20160816T232539.335074,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0,0,0
20160818T115009.335074,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0,0,0
20160816T233409.335074,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0,0,0
20160816T232537.342886,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0,0,0
20160818T115009.335074,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0,0,0
20160818T115009.335074,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0,0,0
20160816T233409.335074,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0,0,0
20160816T233409.335074,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0,0,0
20160816T232537.342886,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0,0,0
20160816T232537.335074,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0,0,0
20160816T233409.335074,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0,0,0
20160816T232539.335074,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0,0,0
20160816T232539.335074,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0,0,0
20160818T115009.335074,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0,0,0
20160816T233409.335074,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0,0,0
20160816T232539.335074,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0,0,0
20160816T232539.335074,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0,0,0
20160816T232537.342886,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0,0,0
20160816T232537.342886,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0,0,0
20160818T115009.335074,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0,0,0
20160816T233409.335074,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0,0,0
20160816T233409.335074,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0,0,0
20160816T232537.342886,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0,0,0
20160816T232537.335074,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0,0,0
20160816T233409.335074,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0,0,0
20160816T232537.342886,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0,0,0
20160818T115009.335074,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0,0,0
20160816T233409.335074,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0,0,0
20160816T232537.335074,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0,0,0
20160816T233409.335074,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0,0,0
20160816T232539.335074,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0,0,0
20160816T232539.335074,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0,0,0
20160816T232537.342886,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0,0,0
20160816T232537.342886,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0,0,0
20160818T115009.335074,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0,0,0
20160816T233409.335074,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0,0,0
20160816T233409.335074,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0,0,0
20160816T232537.342886,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0,0,0
20160816T232537.335074,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0,0,0
20160818T115009.335074,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0,0,0
20160816T233409.335074,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0,0,0
20160816T232539.335074,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0,0,0
20160816T232539.335074,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0,0,0
20160818T115009.335074,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0,0,0
20160816T233409.335074,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0,0,0
20160816T232539.335074,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0,0,0
20160816T232539.335074,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0,0,0
20160816T232537.342886,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0,0,0
20160816T232537.342886,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0,0,0
20160816T232537.342886,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0,0,0
20160818T115009.335074,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0,0,0
20160818T115009.335074,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0,0,0
20160816T232537.335074,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0,0,0
20160816T233409.335074,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0,0,0
20160818T115009.335074,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0,0,0
20160816T233409.335074,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0,0,0
20160816T233409.335074,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0,0,0
20160816T232537.342886,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0,0,0
