09/02/2016 03:58:52 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:52 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:52 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:52 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:52 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:52 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:52 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:52 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:52 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:52 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:52 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:53 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:53 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:53 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:53 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:53 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:53 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:53 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:53 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:53 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:53 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:53 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:53 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:53 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:53 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:53 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:53 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:53 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:53 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:53 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:53 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:53 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:53 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:53 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:53 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:53 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:53 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:53 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:53 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:53 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:53 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:53 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:53 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:53 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:53 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:53 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:53 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:53 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:53 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:53 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:53 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:53 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:53 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:53 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:53 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:53 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:53 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:53 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:53 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:53 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:53 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:53 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:53 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:53 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:53 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:53 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:53 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:53 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:53 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:53 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:53 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:53 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:53 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:53 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:53 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:53 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:53 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:53 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:53 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:53 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:53 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:53 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:53 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:53 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:53 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:53 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:53 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:53 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:53 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:53 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:53 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:53 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:53 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:53 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:53 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:53 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:53 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:53 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:53 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:53 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:53 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:53 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:53 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:53 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:53 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:53 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:53 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:53 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:53 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:53 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:53 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:53 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:53 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:53 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:53 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:53 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:53 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:53 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:53 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:53 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:53 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:53 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:53 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:53 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:53 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:53 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:53 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:53 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:53 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:53 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:53 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:53 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:53 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:53 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:53 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:53 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:53 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:53 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:53 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:54 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:54 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:54 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:54 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:54 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:54 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:54 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:54 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:54 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:54 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:54 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:54 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:54 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:54 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:54 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:54 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:54 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:54 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:54 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:54 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:54 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:54 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:54 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:54 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:54 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:54 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:54 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:54 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:54 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:54 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:54 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:54 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:54 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:54 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:54 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:54 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:54 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:54 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:54 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:54 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:54 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:54 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:54 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:54 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:54 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:54 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:54 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:54 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:54 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:54 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:54 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:54 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:54 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:54 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:54 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:54 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:54 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:54 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:54 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:54 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:54 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:54 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:54 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:54 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:54 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:54 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:54 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:54 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:54 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:54 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:54 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:54 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:54 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:54 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:54 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:54 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:54 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:54 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:54 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:54 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:54 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:54 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:54 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:54 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:54 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:54 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:54 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:54 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:54 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:54 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:54 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:54 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:54 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:54 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:54 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:54 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:54 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:54 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:54 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:54 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:54 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:54 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:54 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:54 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:54 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:54 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:54 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:54 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:54 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:54 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:54 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
09/02/2016 03:58:54 PM n_total 0 n_fib 0, n_fob 0, n_fsc 0
