status,date,time,sync_counter
0,2016-07-27 , 13:16:39.834896, 155
0,2016-07-27 , 13:16:39.842708, 156
0,2016-07-27 , 13:16:39.850520, 157
0,2016-07-27 , 13:16:39.858332, 158
0,2016-07-27 , 13:16:39.866144, 159
0,2016-07-27 , 13:16:39.873956, 160
0,2016-07-27 , 13:16:39.881768, 161
0,2016-07-27 , 13:16:39.889580, 162
0,2016-07-27 , 13:16:39.897392, 163
0,2016-07-27 , 13:16:39.905204, 164
0,2016-07-27 , 13:16:39.913016, 165
0,2016-07-27 , 13:16:39.920828, 166
0,2016-07-27 , 13:16:39.928640, 167
0,2016-07-27 , 13:16:39.936452, 168
0,2016-07-27 , 13:16:39.944264, 169
0,2016-07-27 , 13:16:39.952076, 170
0,2016-07-27 , 13:16:39.959888, 171
0,2016-07-27 , 13:16:39.967700, 172
0,2016-07-27 , 13:16:39.975512, 173
0,2016-07-27 , 13:16:39.983324, 174
0,2016-07-27 , 13:16:39.991136, 175
0,2016-07-27 , 13:16:39.998948, 176
0,2016-07-27 , 13:16:40.006760, 177
0,2016-07-27 , 13:16:40.014572, 178
0,2016-07-27 , 13:16:40.022384, 179
0,2016-07-27 , 13:16:40.030196, 180
0,2016-07-27 , 13:16:40.038008, 181
0,2016-07-27 , 13:16:40.045820, 182
0,2016-07-27 , 13:16:40.053632, 183
0,2016-07-27 , 13:16:40.061444, 184
0,2016-07-27 , 13:16:40.069256, 185
0,2016-07-27 , 13:16:40.077068, 186
0,2016-07-27 , 13:16:40.084880, 187
0,2016-07-27 , 13:16:40.092692, 188
0,2016-07-27 , 13:16:40.100504, 189
0,2016-07-27 , 13:16:40.108316, 190
0,2016-07-27 , 13:16:40.116128, 191
0,2016-07-27 , 13:16:40.123940, 192
0,2016-07-27 , 13:16:40.131752, 193
0,2016-07-27 , 13:16:40.139564, 194
0,2016-07-27 , 13:16:40.147376, 195
0,2016-07-27 , 13:16:40.155188, 196
0,2016-07-27 , 13:16:40.163000, 197
0,2016-07-27 , 13:16:40.170812, 198
0,2016-07-27 , 13:16:40.178624, 199
0,2016-07-27 , 13:16:40.186436, 200
0,2016-07-27 , 13:16:40.194248, 201
0,2016-07-27 , 13:16:40.202060, 202
0,2016-07-27 , 13:16:40.209872, 203
0,2016-07-27 , 13:16:40.217684, 204
0,2016-07-27 , 13:16:40.225496, 205
0,2016-07-27 , 13:16:40.233308, 206
0,2016-07-27 , 13:16:40.241120, 207
0,2016-07-27 , 13:16:40.248932, 208
0,2016-07-27 , 13:16:40.256744, 209
0,2016-07-27 , 13:16:40.264556, 210
0,2016-07-27 , 13:16:40.272368, 211
0,2016-07-27 , 13:16:40.280180, 212
0,2016-07-27 , 13:16:40.287992, 213
0,2016-07-27 , 13:16:40.295804, 214
0,2016-07-27 , 13:16:40.303616, 215
0,2016-07-27 , 13:16:40.311428, 216
0,2016-07-27 , 13:16:40.319240, 217
0,2016-07-27 , 13:16:40.327052, 218
0,2016-07-27 , 13:16:40.334864, 219
0,2016-07-27 , 13:16:40.342676, 220
0,2016-07-27 , 13:16:40.350488, 221
0,2016-07-27 , 13:16:40.358300, 222
0,2016-07-27 , 13:16:40.366112, 223
0,2016-07-27 , 13:16:40.373924, 224
0,2016-07-27 , 13:16:40.381736, 225
0,2016-07-27 , 13:16:40.389548, 226
0,2016-07-27 , 13:16:40.397360, 227
0,2016-07-27 , 13:16:40.405172, 228
0,2016-07-27 , 13:16:40.412984, 229
0,2016-07-27 , 13:16:40.420796, 230
0,2016-07-27 , 13:16:40.428608, 231
0,2016-07-27 , 13:16:40.436420, 232
0,2016-07-27 , 13:16:40.444232, 233
0,2016-07-27 , 13:16:40.452044, 234
0,2016-07-27 , 13:16:40.459856, 235
0,2016-07-27 , 13:16:40.467668, 236
0,2016-07-27 , 13:16:40.475480, 237
0,2016-07-27 , 13:16:40.483292, 238
0,2016-07-27 , 13:16:40.491104, 239
0,2016-07-27 , 13:16:40.498916, 240
0,2016-07-27 , 13:16:40.506728, 241
0,2016-07-27 , 13:16:40.514540, 242
0,2016-07-27 , 13:16:40.522352, 243
0,2016-07-27 , 13:16:40.530164, 244
0,2016-07-27 , 13:16:40.537976, 245
0,2016-07-27 , 13:16:40.545788, 246
0,2016-07-27 , 13:16:40.553600, 247
0,2016-07-27 , 13:16:40.561412, 248
0,2016-07-27 , 13:16:40.569224, 249
0,2016-07-27 , 13:16:40.577036, 250
0,2016-07-27 , 13:16:40.584848, 251
0,2016-07-27 , 13:16:40.592660, 252
0,2016-07-27 , 13:16:40.600472, 253
0,2016-07-27 , 13:16:40.608284, 254
0,2016-07-27 , 13:16:40.616096, 255
0,2016-07-27 , 13:16:40.631720, 257
0,2016-07-27 , 13:16:40.639532, 258
0,2016-07-27 , 13:16:40.647344, 259
0,2016-07-27 , 13:16:40.655156, 260
0,2016-07-27 , 13:16:40.662968, 261
0,2016-07-27 , 13:16:40.670780, 262
0,2016-07-27 , 13:16:40.678592, 263
0,2016-07-27 , 13:16:40.686404, 264
0,2016-07-27 , 13:16:40.694216, 265
0,2016-07-27 , 13:16:40.702028, 266
0,2016-07-27 , 13:16:40.709840, 267
0,2016-07-27 , 13:16:40.717652, 268
0,2016-07-27 , 13:16:40.725464, 269
0,2016-07-27 , 13:16:40.733276, 270
0,2016-07-27 , 13:16:40.741088, 271
0,2016-07-27 , 13:16:40.748900, 272
0,2016-07-27 , 13:16:40.756712, 273
0,2016-07-27 , 13:16:40.764524, 274
0,2016-07-27 , 13:16:40.772336, 275
0,2016-07-27 , 13:16:40.780148, 276
0,2016-07-27 , 13:16:40.787960, 277
0,2016-07-27 , 13:16:40.795772, 278
0,2016-07-27 , 13:16:40.803584, 279
0,2016-07-27 , 13:16:40.811396, 280
0,2016-07-27 , 13:16:40.819208, 281
0,2016-07-27 , 13:16:40.827020, 282
0,2016-07-27 , 13:16:40.834832, 283
0,2016-07-27 , 13:16:40.842644, 284
0,2016-07-27 , 13:16:40.850456, 285
0,2016-07-27 , 13:16:40.858268, 286
0,2016-07-27 , 13:16:40.866080, 287
0,2016-07-27 , 13:16:40.873892, 288
0,2016-07-27 , 13:16:40.881704, 289
0,2016-07-27 , 13:16:40.889516, 290
0,2016-07-27 , 13:16:40.897328, 291
0,2016-07-27 , 13:16:40.905140, 292
0,2016-07-27 , 13:16:40.912952, 293
0,2016-07-27 , 13:16:40.920764, 294
0,2016-07-27 , 13:16:40.928576, 295
0,2016-07-27 , 13:16:40.936388, 296
0,2016-07-27 , 13:16:40.944200, 297
0,2016-07-27 , 13:16:40.952012, 298
0,2016-07-27 , 13:16:40.959824, 299
0,2016-07-27 , 13:16:40.967636, 300
0,2016-07-27 , 13:16:40.975448, 301
0,2016-07-27 , 13:16:40.983260, 302
0,2016-07-27 , 13:16:40.991072, 303
0,2016-07-27 , 13:16:40.998884, 304
0,2016-07-27 , 13:16:41.006696, 305
0,2016-07-27 , 13:16:41.014508, 306
0,2016-07-27 , 13:16:41.022320, 307
0,2016-07-27 , 13:16:41.030132, 308
0,2016-07-27 , 13:16:41.037944, 309
0,2016-07-27 , 13:16:41.045756, 310
0,2016-07-27 , 13:16:41.053568, 311
0,2016-07-27 , 13:16:41.061380, 312
0,2016-07-27 , 13:16:41.069192, 313
0,2016-07-27 , 13:16:41.077004, 314
0,2016-07-27 , 13:16:41.084816, 315
0,2016-07-27 , 13:16:41.092628, 316
0,2016-07-27 , 13:16:41.100440, 317
0,2016-07-27 , 13:16:41.108252, 318
0,2016-07-27 , 13:16:41.116064, 319
0,2016-07-27 , 13:16:41.123876, 320
0,2016-07-27 , 13:16:41.131688, 321
0,2016-07-27 , 13:16:41.139500, 322
0,2016-07-27 , 13:16:41.147312, 323
0,2016-07-27 , 13:16:41.155124, 324
0,2016-07-27 , 13:16:41.162936, 325
0,2016-07-27 , 13:16:41.170748, 326
0,2016-07-27 , 13:16:41.178560, 327
0,2016-07-27 , 13:16:41.186372, 328
0,2016-07-27 , 13:16:41.194184, 329
0,2016-07-27 , 13:16:41.201996, 330
0,2016-07-27 , 13:16:41.209808, 331
0,2016-07-27 , 13:16:41.217620, 332
0,2016-07-27 , 13:16:41.225432, 333
0,2016-07-27 , 13:16:41.233244, 334
0,2016-07-27 , 13:16:41.241056, 335
0,2016-07-27 , 13:16:41.248868, 336
0,2016-07-27 , 13:16:41.256680, 337
0,2016-07-27 , 13:16:41.264492, 338
0,2016-07-27 , 13:16:41.272304, 339
0,2016-07-27 , 13:16:41.280116, 340
0,2016-07-27 , 13:16:41.287928, 341
0,2016-07-27 , 13:16:41.295740, 342
0,2016-07-27 , 13:16:41.303552, 343
0,2016-07-27 , 13:16:41.311364, 344
0,2016-07-27 , 13:16:41.319176, 345
0,2016-07-27 , 13:16:41.326988, 346
0,2016-07-27 , 13:16:41.334800, 347
0,2016-07-27 , 13:16:41.342612, 348
0,2016-07-27 , 13:16:41.350424, 349
0,2016-07-27 , 13:16:41.358236, 350
0,2016-07-27 , 13:16:41.366048, 351
0,2016-07-27 , 13:16:41.373860, 352
0,2016-07-27 , 13:16:41.381672, 353
0,2016-07-27 , 13:16:41.389484, 354
0,2016-07-27 , 13:16:41.397296, 355
0,2016-07-27 , 13:16:41.405108, 356
0,2016-07-27 , 13:16:41.412920, 357
0,2016-07-27 , 13:16:41.420732, 358
0,2016-07-27 , 13:16:41.428544, 359
0,2016-07-27 , 13:16:41.436356, 360
0,2016-07-27 , 13:16:41.444168, 361
0,2016-07-27 , 13:16:41.451980, 362
0,2016-07-27 , 13:16:41.459792, 363
0,2016-07-27 , 13:16:41.467604, 364
0,2016-07-27 , 13:16:41.475416, 365
0,2016-07-27 , 13:16:41.483228, 366
0,2016-07-27 , 13:16:41.491040, 367
0,2016-07-27 , 13:16:41.498852, 368
0,2016-07-27 , 13:16:41.506664, 369
0,2016-07-27 , 13:16:41.514476, 370
0,2016-07-27 , 13:16:41.522288, 371
0,2016-07-27 , 13:16:41.530100, 372
0,2016-07-27 , 13:16:41.537912, 373
0,2016-07-27 , 13:16:41.545724, 374
0,2016-07-27 , 13:16:41.553536, 375
0,2016-07-27 , 13:16:41.561348, 376
0,2016-07-27 , 13:16:41.569160, 377
0,2016-07-27 , 13:16:41.576972, 378
0,2016-07-27 , 13:16:41.584784, 379
0,2016-07-27 , 13:16:41.592596, 380
0,2016-07-27 , 13:16:41.600408, 381
0,2016-07-27 , 13:16:41.608220, 382
0,2016-07-27 , 13:16:41.616032, 383
0,2016-07-27 , 13:16:41.623844, 384
0,2016-07-27 , 13:16:41.631656, 385
0,2016-07-27 , 13:16:41.639468, 386
0,2016-07-27 , 13:16:41.647280, 387
0,2016-07-27 , 13:16:41.655092, 388
0,2016-07-27 , 13:16:41.662904, 389
0,2016-07-27 , 13:16:41.670716, 390
0,2016-07-27 , 13:16:41.678528, 391
0,2016-07-27 , 13:16:41.686340, 392
0,2016-07-27 , 13:16:41.694152, 393
0,2016-07-27 , 13:16:41.701964, 394
0,2016-07-27 , 13:16:41.709776, 395
0,2016-07-27 , 13:16:41.717588, 396
0,2016-07-27 , 13:16:41.725400, 397
0,2016-07-27 , 13:16:41.733212, 398
0,2016-07-27 , 13:16:41.741024, 399
0,2016-07-27 , 13:16:41.748836, 400
0,2016-07-27 , 13:16:41.756648, 401
0,2016-07-27 , 13:16:41.764460, 402
0,2016-07-27 , 13:16:41.772272, 403
0,2016-07-27 , 13:16:41.780084, 404
0,2016-07-27 , 13:16:41.787896, 405
0,2016-07-27 , 13:16:41.795708, 406
0,2016-07-27 , 13:16:41.803520, 407
0,2016-07-27 , 13:16:41.811332, 408
0,2016-07-27 , 13:16:41.819144, 409
0,2016-07-27 , 13:16:41.826956, 410
0,2016-07-27 , 13:16:41.834768, 411
0,2016-07-27 , 13:16:41.842580, 412
0,2016-07-27 , 13:16:41.850392, 413
0,2016-07-27 , 13:16:41.858204, 414
0,2016-07-27 , 13:16:41.866016, 415
0,2016-07-27 , 13:16:41.873828, 416
0,2016-07-27 , 13:16:41.881640, 417
0,2016-07-27 , 13:16:41.889452, 418
0,2016-07-27 , 13:16:41.897264, 419
0,2016-07-27 , 13:16:41.905076, 420
0,2016-07-27 , 13:16:41.912888, 421
0,2016-07-27 , 13:16:41.920700, 422
0,2016-07-27 , 13:16:41.928512, 423
0,2016-07-27 , 13:16:41.936324, 424
0,2016-07-27 , 13:16:41.944136, 425
0,2016-07-27 , 13:16:41.951948, 426
0,2016-07-27 , 13:16:41.959760, 427
0,2016-07-27 , 13:16:41.967572, 428
0,2016-07-27 , 13:16:41.975384, 429
0,2016-07-27 , 13:16:41.983196, 430
0,2016-07-27 , 13:16:41.991008, 431
0,2016-07-27 , 13:16:41.998820, 432
0,2016-07-27 , 13:16:42.006632, 433
0,2016-07-27 , 13:16:42.014444, 434
0,2016-07-27 , 13:16:42.022256, 435
0,2016-07-27 , 13:16:42.030068, 436
0,2016-07-27 , 13:16:42.037880, 437
0,2016-07-27 , 13:16:42.045692, 438
0,2016-07-27 , 13:16:42.053504, 439
0,2016-07-27 , 13:16:42.061316, 440
0,2016-07-27 , 13:16:42.069128, 441
0,2016-07-27 , 13:16:42.076940, 442
0,2016-07-27 , 13:16:42.084752, 443
0,2016-07-27 , 13:16:42.092564, 444
0,2016-07-27 , 13:16:42.100376, 445
0,2016-07-27 , 13:16:42.108188, 446
0,2016-07-27 , 13:16:42.116000, 447
0,2016-07-27 , 13:16:42.123812, 448
0,2016-07-27 , 13:16:42.131624, 449
0,2016-07-27 , 13:16:42.139436, 450
0,2016-07-27 , 13:16:42.147248, 451
0,2016-07-27 , 13:16:42.155060, 452
0,2016-07-27 , 13:16:42.162872, 453
0,2016-07-27 , 13:16:42.170684, 454
0,2016-07-27 , 13:16:42.178496, 455
0,2016-07-27 , 13:16:42.186308, 456
0,2016-07-27 , 13:16:42.194120, 457
0,2016-07-27 , 13:16:42.201932, 458
0,2016-07-27 , 13:16:42.209744, 459
0,2016-07-27 , 13:16:42.217556, 460
0,2016-07-27 , 13:16:42.225368, 461
0,2016-07-27 , 13:16:42.233180, 462
0,2016-07-27 , 13:16:42.240992, 463
0,2016-07-27 , 13:16:42.248804, 464
0,2016-07-27 , 13:16:42.256616, 465
0,2016-07-27 , 13:16:42.264428, 466
0,2016-07-27 , 13:16:42.272240, 467
0,2016-07-27 , 13:16:42.280052, 468
0,2016-07-27 , 13:16:42.287864, 469
0,2016-07-27 , 13:16:42.295676, 470
0,2016-07-27 , 13:16:42.303488, 471
0,2016-07-27 , 13:16:42.311300, 472
0,2016-07-27 , 13:16:42.319112, 473
0,2016-07-27 , 13:16:42.326924, 474
0,2016-07-27 , 13:16:42.334736, 475
0,2016-07-27 , 13:16:42.342548, 476
0,2016-07-27 , 13:16:42.350360, 477
0,2016-07-27 , 13:16:42.358172, 478
0,2016-07-27 , 13:16:42.365984, 479
0,2016-07-27 , 13:16:42.373796, 480
0,2016-07-27 , 13:16:42.381608, 481
0,2016-07-27 , 13:16:42.389420, 482
0,2016-07-27 , 13:16:42.397232, 483
0,2016-07-27 , 13:16:42.405044, 484
0,2016-07-27 , 13:16:42.412856, 485
0,2016-07-27 , 13:16:42.420668, 486
0,2016-07-27 , 13:16:42.428480, 487
0,2016-07-27 , 13:16:42.436292, 488
0,2016-07-27 , 13:16:42.444104, 489
0,2016-07-27 , 13:16:42.451916, 490
0,2016-07-27 , 13:16:42.459728, 491
0,2016-07-27 , 13:16:42.467540, 492
0,2016-07-27 , 13:16:42.475352, 493
0,2016-07-27 , 13:16:42.483164, 494
0,2016-07-27 , 13:16:42.490976, 495
0,2016-07-27 , 13:16:42.498788, 496
0,2016-07-27 , 13:16:42.506600, 497
0,2016-07-27 , 13:16:42.514412, 498
0,2016-07-27 , 13:16:42.522224, 499
0,2016-07-27 , 13:16:42.530036, 500
0,2016-07-27 , 13:16:42.537848, 501
0,2016-07-27 , 13:16:42.545660, 502
0,2016-07-27 , 13:16:42.553472, 503
0,2016-07-27 , 13:16:42.561284, 504
0,2016-07-27 , 13:16:42.569096, 505
0,2016-07-27 , 13:16:42.576908, 506
0,2016-07-27 , 13:16:42.584720, 507
0,2016-07-27 , 13:16:42.592532, 508
0,2016-07-27 , 13:16:42.600344, 509
0,2016-07-27 , 13:16:42.608156, 510
0,2016-07-27 , 13:16:42.615968, 511
0,2016-07-27 , 13:16:42.631592, 513
0,2016-07-27 , 13:16:42.639404, 514
0,2016-07-27 , 13:16:42.647216, 515
0,2016-07-27 , 13:16:42.655028, 516
0,2016-07-27 , 13:16:42.662840, 517
0,2016-07-27 , 13:16:42.670652, 518
0,2016-07-27 , 13:16:42.678464, 519
